[ 2012-09-13T15:56:19+08:00 ] /admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.004040s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.004231s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-09-13T15:56:19+08:00 ] /admin.php | NOTIC: [8] Use of undefined constant menunames - assumed 'menunames' 8036b6ce8dcda916f02254a7b19498b1.php 第 58 行.
[ 2012-09-13T15:56:19+08:00 ] /admin.php | NOTIC: [8] Undefined variable: _TPL 8036b6ce8dcda916f02254a7b19498b1.php 第 58 行.
[ 2012-09-13T15:56:19+08:00 ] /admin.php | NOTIC: [8] Undefined variable: value 8036b6ce8dcda916f02254a7b19498b1.php 第 58 行.
[ 2012-09-13T15:56:19+08:00 ] /admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.078183s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.078384s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-09-13T15:56:19+08:00 ] /admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.001303s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.001101s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000685s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001510s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005094s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | INFO: Tag[ view_end ] --START--
[ 2012-09-13T15:56:19+08:00 ] /admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.002244s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.002516s ]
[ 2012-09-13T15:56:20+08:00 ] /admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-13T15:56:20+08:00 ] /admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001778s ]
[ 2012-09-13T15:56:20+08:00 ] /admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002067s ]
[ 2012-09-13T15:56:20+08:00 ] /admin.php | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2012-09-13T15:56:20+08:00 ] /admin.php | NOTIC: [2048] Declaration of AdvModel::_before_insert() should be compatible with that of Model::_before_insert() AdvModel.class.php 第 18 行.
[ 2012-09-13T15:56:20+08:00 ] /admin.php | NOTIC: [2048] Declaration of AdvModel::_before_update() should be compatible with that of Model::_before_update() AdvModel.class.php 第 18 行.
[ 2012-09-13T15:56:20+08:00 ] /admin.php | NOTIC: [2048] Declaration of AdvModel::_after_select() should be compatible with that of Model::_after_select() AdvModel.class.php 第 18 行.
