[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  createTime ProductAction.class.php 第 62 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  createTime1 ProductAction.class.php 第 63 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  viewCount ProductAction.class.php 第 64 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  viewCount1 ProductAction.class.php 第 65 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  pageSize ProductAction.class.php 第 69 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | SQL: SELECT COUNT(*) AS tp_count FROM `yge_product` LIMIT 1   [ RunTime:0.001290s ]
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | SQL: SELECT a.*,b.title as category FROM yge_product a LEFT JOIN yge_category b on a.category_id=b.id ORDER BY a.id DESC LIMIT 0,15   [ RunTime:0.001191s ]
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | SQL: SHOW COLUMNS FROM `yge_admin_log` [ RunTime:0.003692s ]
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | SQL: INSERT INTO `yge_admin_log` (`user_id`,`username`,`action`,`ip`,`create_time`) VALUES (1,'lizhongyi','/admin.php/Product','127.0.0.1',1347352575) [ RunTime:0.000327s ]
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | INFO: Tag[ view_template ] --START--
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | INFO: Run LocationTemplate Behavior [ RunTime:0.013197s ]
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | INFO: Tag[ view_template ] --END-- [ RunTime:0.013353s ]
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | INFO: Tag[ view_parse ] --START--
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Use of undefined constant menunames - assumed 'menunames' d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 58 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined variable: _TPL d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 58 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined variable: value d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 58 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  title d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 134 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  categoryId d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 135 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  userId d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 136 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  createTime d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 137 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  createTime1 d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 138 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  recommend d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 139 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  status d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 140 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  istop d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 141 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  viewCount d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 142 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  viewCount1 d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 143 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  orderType d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 144 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  orderBy d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 145 行.
